id,crawl_id,source_url,target_url,anchor_text,is_internal,is_nofollow,is_sponsored,is_ugc
537992,crawl_20260924_001323,https://www.drivio.in/aprilia-bikes,https://www.drivio.in/,Home,1,0,0,0
538022,crawl_20260924_001323,https://www.drivio.in/aprilia-bikes,https://www.drivio.in/,,1,0,0,0
538024,crawl_20260924_001323,https://www.drivio.in/aprilia-bikes,https://www.drivio.in/,,1,0,0,0
538043,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-457,https://www.drivio.in/,Home,1,0,0,0
538078,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-457,https://www.drivio.in/,,1,0,0,0
538079,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-457,https://www.drivio.in/,Home,1,0,0,0
538109,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-457,https://www.drivio.in/,,1,0,0,0
538111,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-457,https://www.drivio.in/,,1,0,0,0
538130,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-660,https://www.drivio.in/,Home,1,0,0,0
538159,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-660,https://www.drivio.in/,,1,0,0,0
538160,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-660,https://www.drivio.in/,Home,1,0,0,0
538190,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-660,https://www.drivio.in/,,1,0,0,0
538192,crawl_20260924_001323,https://www.drivio.in/aprilia/rs-660,https://www.drivio.in/,,1,0,0,0
538211,crawl_20260924_001323,https://www.drivio.in/aprilia/rsv4,https://www.drivio.in/,Home,1,0,0,0
538246,crawl_20260924_001323,https://www.drivio.in/aprilia/rsv4,https://www.drivio.in/,,1,0,0,0
538247,crawl_20260924_001323,https://www.drivio.in/aprilia/rsv4,https://www.drivio.in/,Home,1,0,0,0
538277,crawl_20260924_001323,https://www.drivio.in/aprilia/rsv4,https://www.drivio.in/,,1,0,0,0
538279,crawl_20260924_001323,https://www.drivio.in/aprilia/rsv4,https://www.drivio.in/,,1,0,0,0
538298,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-125,https://www.drivio.in/,Home,1,0,0,0
538351,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-125,https://www.drivio.in/,,1,0,0,0
538352,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-125,https://www.drivio.in/,Home,1,0,0,0
538382,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-125,https://www.drivio.in/,,1,0,0,0
538384,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-125,https://www.drivio.in/,,1,0,0,0
538403,crawl_20260924_001323,https://www.drivio.in/aprilia/storm-125,https://www.drivio.in/,Home,1,0,0,0
538468,crawl_20260924_001323,https://www.drivio.in/aprilia/storm-125,https://www.drivio.in/,,1,0,0,0
538469,crawl_20260924_001323,https://www.drivio.in/aprilia/storm-125,https://www.drivio.in/,Home,1,0,0,0
538499,crawl_20260924_001323,https://www.drivio.in/aprilia/storm-125,https://www.drivio.in/,,1,0,0,0
538501,crawl_20260924_001323,https://www.drivio.in/aprilia/storm-125,https://www.drivio.in/,,1,0,0,0
538520,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr-125,https://www.drivio.in/,Home,1,0,0,0
538573,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr-125,https://www.drivio.in/,,1,0,0,0
538574,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr-125,https://www.drivio.in/,Home,1,0,0,0
538604,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr-125,https://www.drivio.in/,,1,0,0,0
538606,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr-125,https://www.drivio.in/,,1,0,0,0
538625,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-160-bs6,https://www.drivio.in/,Home,1,0,0,0
538657,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-160-bs6,https://www.drivio.in/,,1,0,0,0
538658,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-160-bs6,https://www.drivio.in/,Home,1,0,0,0
538688,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-160-bs6,https://www.drivio.in/,,1,0,0,0
538690,crawl_20260924_001323,https://www.drivio.in/aprilia/sr-160-bs6,https://www.drivio.in/,,1,0,0,0
538709,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr160,https://www.drivio.in/,Home,1,0,0,0
538759,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr160,https://www.drivio.in/,,1,0,0,0
538760,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr160,https://www.drivio.in/,Home,1,0,0,0
538790,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr160,https://www.drivio.in/,,1,0,0,0
538792,crawl_20260924_001323,https://www.drivio.in/aprilia/sxr160,https://www.drivio.in/,,1,0,0,0
538811,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-660,https://www.drivio.in/,Home,1,0,0,0
538846,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-660,https://www.drivio.in/,,1,0,0,0
538847,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-660,https://www.drivio.in/,Home,1,0,0,0
538877,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-660,https://www.drivio.in/,,1,0,0,0
538879,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-660,https://www.drivio.in/,,1,0,0,0
538898,crawl_20260924_001323,https://www.drivio.in/atumobile-ev,https://www.drivio.in/,Home,1,0,0,0
538905,crawl_20260924_001323,https://www.drivio.in/atumobile-ev,https://www.drivio.in/,,1,0,0,0
538906,crawl_20260924_001323,https://www.drivio.in/atumobile-ev,https://www.drivio.in/,Home,1,0,0,0
538936,crawl_20260924_001323,https://www.drivio.in/atumobile-ev,https://www.drivio.in/,,1,0,0,0
538938,crawl_20260924_001323,https://www.drivio.in/atumobile-ev,https://www.drivio.in/,,1,0,0,0
538957,crawl_20260924_001323,https://www.drivio.in/ather-energy/450x,https://www.drivio.in/,Home,1,0,0,0
538995,crawl_20260924_001323,https://www.drivio.in/ather-energy/450x,https://www.drivio.in/,,1,0,0,0
538996,crawl_20260924_001323,https://www.drivio.in/ather-energy/450x,https://www.drivio.in/,Home,1,0,0,0
539026,crawl_20260924_001323,https://www.drivio.in/ather-energy/450x,https://www.drivio.in/,,1,0,0,0
539028,crawl_20260924_001323,https://www.drivio.in/ather-energy/450x,https://www.drivio.in/,,1,0,0,0
539047,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-v4,https://www.drivio.in/,Home,1,0,0,0
539082,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-v4,https://www.drivio.in/,,1,0,0,0
539083,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-v4,https://www.drivio.in/,Home,1,0,0,0
539113,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-v4,https://www.drivio.in/,,1,0,0,0
539115,crawl_20260924_001323,https://www.drivio.in/aprilia/tuono-v4,https://www.drivio.in/,,1,0,0,0
539134,crawl_20260924_001323,https://www.drivio.in/ather-energy/450s,https://www.drivio.in/,Home,1,0,0,0
539196,crawl_20260924_001323,https://www.drivio.in/ather-energy/450s,https://www.drivio.in/,,1,0,0,0
539197,crawl_20260924_001323,https://www.drivio.in/ather-energy/450s,https://www.drivio.in/,Home,1,0,0,0
539227,crawl_20260924_001323,https://www.drivio.in/ather-energy/450s,https://www.drivio.in/,,1,0,0,0
539229,crawl_20260924_001323,https://www.drivio.in/ather-energy/450s,https://www.drivio.in/,,1,0,0,0
539248,crawl_20260924_001323,https://www.drivio.in/ather-energy/450-apex,https://www.drivio.in/,Home,1,0,0,0
539283,crawl_20260924_001323,https://www.drivio.in/ather-energy/450-apex,https://www.drivio.in/,,1,0,0,0
539284,crawl_20260924_001323,https://www.drivio.in/ather-energy/450-apex,https://www.drivio.in/,Home,1,0,0,0
539314,crawl_20260924_001323,https://www.drivio.in/ather-energy/450-apex,https://www.drivio.in/,,1,0,0,0
539316,crawl_20260924_001323,https://www.drivio.in/ather-energy/450-apex,https://www.drivio.in/,,1,0,0,0
539335,crawl_20260924_001323,https://www.drivio.in/ather-energy/rizta,https://www.drivio.in/,Home,1,0,0,0
